title,comment,recommend
بررسی کیفیت,"این دیدگاه بعد از حدود 5  روز از دریافت محصول و حداقل 10 مرتبه استفاده از آن درج شده .
متاسفانه در  زمان خرید به پلاستیکی بودن بدنه داخلی کتری دقت نکردم و با مشاهده تصویر این تصور ایجاد شده بود که بدنه کتری دو لایه هست و لایه داخلی استیل باید باشه . اما این موضوع باعث افت کیفیت چشم گیری در چای نمیشه . زمانی که دستگاه رو باز میکنید بدنه پلاستیکی و لوازم پلاستیکی دیگر از جمله درب کتری و قوری ها شما رو مایوس میکنه .
انتظار داشتم محصول با برند فلیپس حتی زمانی که از پلاستیک استفاده میکنه کیفیت خوبی داشته باشه .
بوی پلاستیک به طور کامل در زمان جوش آمدن آب و یا زمانی که کتری خالی هست کاملا احساس میشه، اما تاثیر زیادی روی طعم چای نمیذاره ، هرچند اگر مثل من خیلی حساس باشید متوجه تفاوت خواهید شد ولی اذیتتون نمیکنه .
علت اینکه به کیفیت ساخت امتیاز پایینی رو دادم در درجه اول بدنه پلاستیکی بود و در درجه دوم نوع طراحی بود ، درب قوری طوری طراحی شده که به راحتی جا نمیره و از نظر خوش ساختی اصلا خوش ساخت نیست .
به هرحال در استفاده از این چای ساز پیشمون نیستم اما از اینکه در خریدم دقت لازم رو نکردم احساس خوبی ندارم و اگر میخواید جنس با کیفیت نسبت به پولی که میدید دریافت کنید این محصول گزینه خوبی نیست و بهتره دنبال کتری با بدنه استیل اما با همین ساختار و شکل بگردید . دم کردن چای با آب بر روی کتری خیلی بهتر از قرار دادن قوری روی گرم کن به صورت مستقیم هست .",not_recommended
حیف پول,دوخت کناره حوله خیلی خوبه و زیباس ولی پرز میده و مثل پنبه به پدن میچسبه وحشتناک,not_recommended
مفت گرونه,واقعا پشیمونم از خریدنش,not_recommended
بعد از دو روز خطای فرمت داد,اگه پولتون دوست دارین نخرید بعد از دو روز که به دستم رسید تمام اطلاعات گوشیم رو توش خالی کردم اونم نامردی نکرد و یهو خطای فرمت داد. تمام اطلاعاتم سوخت,not_recommended
قیمت بسیار بالا,"با سلام
این مارک درجه ۱ و ۲ داره.
وقتی قیمت درجه ۲   ۳۵ هزار بوده  درجه ۱ بوده ۶۰ هزار من خرید کردم.
الان درجه ۲ شده ۷۵ هزار درجه ۱ هم باید بشه ۱۲۵ هزار که ۵۰ هزار گرون تر هست
لطفا رسیدگی کنید",not_recommended
دوسش ودارم ولی...,من برای جهیزیه ام این کالا رو تهیه کردم.شیکه و توی شگف انگیز قیمتش از بازار بسیار پایینتره.رنگاش قشنگه و بخاطر پایه ای ک تعبیه شده روی کابینت جلوه خاصی داره.دوسش دارم.تنها نقدی ک بهش دارم اینه ک میتونس ابعاد مختلف ای داشته باشه( مثل کاربرد مختلفی ک براشون در نظر گرفتن)از کوچیک ب بزرگ.عکس اش ادم رو ب اشتباه میاندازه,recommended
پادری,"به نظرم به تیکه موکت بی کیفیت بیشتر ف
نیست اصلا ارزش خرید نداره از خریدش بسیار پشیمون شدم",not_recommended
بادکنک,کیفیت بسیار معمولی سایز کوچیک نسبتا گرون ولی زیباست,not_recommended
مزخرف,خیلی نا امید شدم از دیجیکالا این چیه بعد چند روز خراب شد,not_recommended
با این قیمت میشه بهترش رو خرید,"من تازه این پاور بانک بدستم رسیده،سه تا پاور بانک قبلا"" خرید کرده بودم و برای اولین بار با کمال تعجب دیدم این پاور کابل همراه نداره،در کل میشه با این هزینه بهترش رو خرید.",not_recommended
بررسی,هیچ ارزانی بی دلیل نیست ، در گام نخست به راحتی کلید ها تشخیص داده شدند اما.... کارایی این دستگاه با مشکلات زیادی روبروست ، در بسیاری از خودروها قرار گبری دستگاههای پخش و نیز چشمی خود دستگاه پخش ممکنه در مسیر امواج این کنترل قرار نگیرد و هیچ نتیجه ای دریافت نکنبد ، با ترفند های گوناگون و شل کردن بند و پایین بردن کنترل وضعیت کمی بهتر شد چون در مسیر گیرنده پخش ماشین قرار گرفت اما نه همیشه ! از کلافه شدن و کار نکردن درست ابن کنترل کلا بیخیال نصب شدنش میشوید. باتری نیز تعویض شد ولی تاثیری نداشات ، با ترفند نهایی مشکل تقریبا حل شد و با جدا کردن کنترل مارشال از روی کمربند روی فرمان و قرار دادن کنترل اصلی دستگاه پخش خودرو و با توجه به قدرت امواج مادون قرمز کنترل اصلی پخش خودرو با استفاده از چسب دو طرفه بر روی گیره بند مشکل حل شد. پس در پایان نتیجه میگیریم این کنترل شاید در ده درصد خریداران رضایتان جلب شود ولی نود درصد ناراضی  از خرید می شوند . فقط کمربند و گیره این دستگاه بدرد خورد . خرید پیشنهاد نمیشود با همان دست پخش خود را کنترل کنید ، مثل قدیم,not_recommended
عملکرد راحت,نسبت به دستگاههای قدیمی کار کردن با این مدل دستگاه راحته,recommended
واقعا عالیه,خیلی ست خوب وجالبیه حتما بخرید پشیمان نمی شوید. من  2 روز پیش از پیشنهاد شگفت انگیز  دیجی کالا خریدم امروز رسید به دستم واقعا عالیه ممنون از دیجی کالا,recommended
وقتی ب دستم رسید داشت اب میشد ازگرما,وقتی ب دستم رسید سرش خراب بود وجزم نمیشد براهمین نمیتونم تو کیفم بزارمش !,recommended
یه کوله سبک و جمع و جور,"کالا کاملا اصالت داره و از طریق بارکدخوان متوجه میشی کالا اصله و تقلبی نیست
کیفیت مناسبی داره
زیباست
خیلی به درد استخر و ورزشهای آبی یا رفتن لب ساحل میخوره
قیمتش تو پیشنهاد ویژه هنوزم بالاست اما خوب بالخره برنده آندرآرموره
فکر میکنم ساخت برزیل باشه",recommended
دوختش خوب نیست,اصلا برای بچه راحت نیست و کش سفتی داره و کمرش درست طراحی نشده,not_recommended
مفید و کارآمد,سه ماهی میشه این فلش رو از دیجی کالا خریداری کردم، هنوز هیچ مشکلی براش پیدا نشده، طراحی ظاهری بسیار شیکی داره حتی نسبت به فلشهای پلاستیکی وزن بیشتری داره که این باعث میشه حس بهتری هنگام در دست گرفتن به آدم القا کنه، براق و درخشان، تنها نقطه ضعف اون سرعت پایین انتقال داده هست که البته در هم رده های خودش یک امر طبیعی به حساب میاد,recommended
هدبند اکشن کمرا,"این هدبند رو مدتی میشه که خریدم و ازش راضی هستم هیچ ایرادی نداره و توی خریدش شک نکنید
همراه این هدبند یک قاب برای موبایل هم هست که میتونید از اون هم استفاده کنید اما من این هدبند رو برای اکشن کمرا yi action خریدم و دارای زاویه دید خوبی هستش",recommended
قهوه بیم,"تا من خریدم ۲،۳ روز بعدش پیشنهاد شگفت انگیز شد!
این دستگاه رو پیشنهاد میکنم اما حواستون باشه مثل من سرتون کلاه نره، حتما تو‌ شگفت انگیز‌ خرید کنید.",recommended
کیفیت بالا قطعات و خدمات پس از فروش مناسب,"تقریبا دو ماهی هست که این دستگاه رو تهیه کردیم
خدمات پس از فروش خوب
آب کاملا سبک شده
در چای ساز دیگر املاحی دیده نمیشود
یخهای یخ ساز روشن و کریستالی شدند
در کل از خریدم راضی هستم",recommended
عالییییی,به شدت پیشنهاد میشه دو ماهه دارم استفاده میکنم فوف العادست؛,recommended
ریمل حجم دهنده اسنس,من دومین باره ک این ریمل رو از دیجی کالاسفارش میدم.چون حجم دهنده بودن ریمل واسم اولویت بود در مقایسه با مدل آبی ومشکی اسنس آبیش رو انتخاب کردم و کاملا هم راضیم..فوق العادس,recommended
وقتی مخزن تمام میشه از همان شرکت دیگه جایگزین ندارد,تنها دستگاه خوب است ولی مخزن با رایحه خوب از شرکت خودش وجود نداره.,not_recommended
لامپ کم نور,کم نور هست,not_recommended
خیلی عالیه ممنون از دیجی,خیلی عالیه ممنون از دیجی,recommended
سشوار والر,سلام دوستان مدتی است که این سشوار را از دیجی کالا خریدم واقعا ارزش خرید بالای دارد بدنه خوش ساخت موتور بادوام از نظر فیزیکی به گونه ای طراحی شده که به راحتی در مسافرت ها می توان استفاده کرد دارای فناوری روتوکورد می باشد و خلاصه کلام به نظرم تا مدت های طولانی شما را از خرید سشوار بی نیاز خواهد کرد در ضمن ساخت سویس می باشد من از خریدم لذت بردم,recommended
بسیار بد,بسیار محصول بی کیفیتی و قیمتش از از خود محصول بیشتره در واقع افتضاست,not_recommended
عالی و بسیار زیبا,بسیار زیبا و جذابه هر ساعتی که قیافه ی خوبی هم نداشته باشه با این جعبه شیک میشه,recommended
عدم دید کافی تصویر دوربین,متاسفانه اصلا چیزی نبود که فکر میکردم....به علت مات بودن صفحه آینه مانیتور اصلا دید خوبی نداره بیشتر تصاویر اطراف داخلش میبینی و برای شب خوبه,not_recommended
امکانات عالی,عالیه...حتما پیشنهاد میکنم,recommended
عالیه,پیشنهاد میکنم بخرید پشیمون نمیشید,recommended
سری سوکت یک هفته هم جواب نداد خیلی ضعیف بود خاراش رفت داخل,خارای سری شارژر بسیار ضعیف که بعد یک هفته استفاده میره داخل و موقع شارژگوشی هی در میاد,not_recommended
سلام,خیلییی عالیه یه فر کوچیک برقیه ، خیلی کاربردیه,recommended
حتما پبشنهاد میکنم,دوستان در شگفت انگیز ارزش خرید داره...من از بوش خوشم اومد که یه امر سلیقه ای هست..هر چبزی رو نسبت به پولی که میدین مقایسه کنید...بعضیا گفتن بوی صابون میده..خوب توی صابون هم از اسانس استفاده میشه که این یه امر طبیعیه....,recommended
ظرفشویی,خوبه نسبت به قیمتش دو تا سبد داره  حتی قابلمه متوسط  هم میشه داخلش کزاشت کیفیتش نسبتا بد نیست سر و صداش کمه شستشوی بسیار بسیلر عالی داره هیچگونه کف و چربی و این چیزا نمیمونه و در مورد گارانتیش هم پشتیبانی داره شستشوی اب سرد نداره که باهاش میوه شست مگر با همون اب گرم که البته دیگه نباید مواد شوینده بریزی فقط با اب گرم میوه میشه شست,recommended
سرعت انتقال زیر ۱ مگ در usb2,سلام عزیزان. من usb2 تست کردم سرعت زیر ۱ مگ بود... خواستم یه فایل ۸ گیگی انتقال بدم دقیقا 2 ساعت و 45 دقیقه طول کشید.فقط بدرد این میخوره بشینی بگی فلشم 32 گیگه و البته داخل ماشین که سرعتش مهم نی... ولی اگه با کامپیوتر کارای مهندسی میکنید این بدرد شما نمیخوره,not_recommended
خیلی مزخرف,به هیچ وجه نخرید.چون زیر محصول کلا آشغال داره و دون دون میباشد.و زیرش کلا هوا داره و برچسب هواگیری نداره.حیف پولی که به این محصول میدین.نخرینا,not_recommended
جنس خوب,کلاهش واقعا بزرگه و دوبرابر کله ی آدمه ولی اگع جنسش رو بخواید واقعا عالیه و خیلی هم گرمای خوبی داره,recommended
نسبت به قیمتش خیلی خوبه,"شکل قشنگی داره ، میکروفونش کنار دهان قرار میگیره در نتیجه صدای خوبی به شخصی که پشت تلفن قرار داره میرسونه بلندی صداش خیلی خوبه ولی کیفیت بالایی تو درجه بالا بهتون نمیده باید از داخل گوشی به وسیله نرم افزار اکولایزر تغیراتی ایجاد کنید که بعد از تغییر عالی میشه 
شارژشم خیلی خوبه من چندین ساعت با صدای بلند موزیک گوش دادم و کار کردم تازه نزدیک نصف شد
گوش رو اصلا اذیت نمیکنه من برای پشت موتور گرفتم تو سرعت بالای ۱۰۰ تام گوشی تکونی نداره و ناراحت افتادنش از گوش نیستید 
زبان هد ست هم چینی هست ، نمیدونم فعلا زبانش تغییر میکنه یا نه",recommended
بسیار بد زود پوس پوس میشه,افتضاح..........,not_recommended
عالیه,عالی  و زیبا,recommended
واقعا اتوی خوبیه,"واقعا اتو موی خوبیه من ۲ ماهه دارم ازش استفاده میکنم در یک کلام عاالیه 
در مورد صفحه ال ای دی هم بگم که همچین چیزی نداره فقط روش ۴ تا درجه درج شده که زیرشون لامپ ال ای قرار دادن و حرارت اتو رو روی هر درجه ای بزارید زیر اون درجه لامپش روشن میشه",recommended
بسیار شکیل و زیبا,حتما بخرید خوب کارمیکنه ولی به یاد داشته باشید که بستگی به استفادتون هم داره چون ضد آب نیست.,recommended
بسته بندی عالی مناطق مرطوب,من از بسته بندی نایلونی بزرگش خیلی راضی هستم هم راحت میشه ریخت داخل ماشین هم خیس نمیشه در شمال،,recommended
نا مناسب,شکل ظاهری خوبی به گوشی می‌ده اما کلا لکه. دست بزنی لک شده. یکم سوراخ‌ها و قسمت‌های ست شونده‌اش هماهنگ نیس با گوشی. همین مدل با کیفیت بالاتر رو پیشنهاد می‌کنم,not_recommended
چرا یه دفعه اینقدر گرونش کردین,یک دفعه اینقدر افزایش قیمت خیلی زیاده کیفیت عالیه ولی قیمت بالاست,recommended
اشتباه در مدل,اصلا متعلق به این گوشی نیست,not_recommended
عالی حرف ندارهه,عالی من از همینجا خریدم عالی,recommended
بی کیفیت بودن جنس,به خاطر تاریخ گذشته بودن محصول هر کاری کردم اصن بغلاش نمیچسبه و محافظ آبی رنگشم به سختی در میومد معلوم بود جنس خیلی قدیمیه,not_recommended
بد مزه,خیلی بد بود,not_recommended
بسیار بی کیفیت,"چروک و بسیار بی کیفیت
انگار که توی مترو خریده باشید",not_recommended
خیلی بده این,روی دوربین رو نمیپوشونه و خیلی نازک هس و تمام صفحه هم نیس,not_recommended
مطبقت نداشتن,ابعاد سینی مورد سفارشم با سینی دریافتیم اصلا مطابقت نداره.,not_recommended
بررسی یه هفته ای,در کل نسبت به پولی که میدید مچ بند خوبیه اگه بخوام مقایسه ای با می بند ۲ داشته باشم این بهتره  نام تماس گیرنده و پیامکها رو فارسی هم باشه نشون میده فقط مثلاً اگر پیامک ۶۰ کارکتر باشه همه رو نشون نمی ده تا ۳۰ کارکتر رو نشون میده,recommended
مغایرت مشخصات,سلام.دوستان این محصول نسوز نیست و روی دستگیره قابلمه آب شد.,not_recommended
بدون تاثیر,"من این محصول را از دی جی کالا خریدم و مطابق دستورالعمل استفاده کردم 
هیچ تاتیری در مصرف سوخت و شتاب خودرو و عملکرد موتور نداشت .
حتی در برخی مواقع باعث بد کار کردن موتور هم شد .",not_recommended
طراحی نسبتا خوب,"برای کار من که میز نسبتا بزرگی دارم مناسب هست، ولی می شد روی جنبه هایی مثل تنظیم شدت نور بیشتر کار کرد.
به امید پیشرفت و توسعه بیشتر این محصول",recommended
فلش SanDisk,"فلش خوبیه
سرعتش راضی کننده اس و ظاهر شیکی هم داره",recommended
دقیق نشون نمیده,عقربه گیج دقیق نیست وبالاتر از واقعی رو نشون میده با گیجهای دیگه تستش کردم,not_recommended
حتما توصیه میکنم,"سه هفته ست از دیجی جان به دستم رسیده برا ضبط ماشینم گرفتم کوچیک و جمع و جوره مخصوصا رنگ مشکی مناسب ضبط ماشین هستش.با سرعت خیلی بالا میشه روش دیتا ریخت من راضی ام ازش
در ضمن زیر آب گرفتمش برا تست چیزیش نشد
 بازم سفارش میدم ازش
ممنون دیجی جان",recommended
.گلس مقاوم و خوش قیمت,خیلی به صرفه است,recommended
بیست دقیقه کار کرد سوخت,بیست دقیقه کار کرد سوخت,not_recommended
سری مسواک برقی,حدود ده ماه پیش این سری رو گرفتم خیلی سفت تر از سری حساس نیست از مسواک برقی راضیم ولی بهتون توصیه میکنم قیمت رو در نظر بگیرید برای خرید مسواک برقی چون هر چند ماه باید سری رو عوض کنید از ده ماه پیش که سری خریدم الان قیمتش بیشتر شده ومن دیگه فکر نمیکنم بخرم ولی اگه قیمت براتون موردی نداره خوبه بخرید,not_recommended
افتضاح یکبار مصرف,من قبلا نظر مثبت نسبت به این محصول رو دادم و خیلی دوسش داشتم ولی االان بعد از چند بار استفاده متوجه شدم که لوله داخلیش بر اثر گرما ذوب شده و الان به صورت بسیار خطرناکی آتیش میده بیرون...سازندش به فکر جون مردم نبوده و فقط به فکر جیبشون بوده اگه ایرادش برطرف بشه حرف نداره,not_recommended
نخرید,یه اسباب بازی که فقط الکی بوق میزنه رو مویی که شپش نداره قدرت کشتن شپش زنده چیه؟ کلا اسباب بازیه بوقاشم الکیه,not_recommended
عالیه,"کیفیت ساختش، صداش هیچ مشکلی نداره.
در ضمن ویتنامی هم هست؛ خریدش رو حتما پیشنهاد میکنم.",recommended
خیلی خوبه,"من برای پدرم خریدم که به گفته خودش خیلی عالیه 
برای سری های المینیومی که داره خیلی ازش رازیم",recommended
حتماپیشنهادمیکنم,خیلی خوبه زودشارژمی کنه واینکه انتقال فایل وتصاویروبه لبتاب داره چون بقیه ی کابل های مغناطیسی ندارن ویکی هم پرت شارژروخراب نمی کنه.,recommended
پنکه رو میزی,متاسفانه ابعاد خود پنکش 10 در 10 هم نیست و ابعاد کلش 12 در 12 تقریبا... پشیمون میشید اگر بخرید,not_recommended
خوب بود ولی ...,رسید دستم.خوب بود اندازه و شارژش.فقط اصلا فست شارژ شارژ نمی کرد گوشی رو.وقتی وصل کردم نمی نوشت فست شارژ.مرجوع کردم ببینم چی میشه.ولی خوب بود.,recommended
افتضاح,هر چقدرم که خوب باشه وقتی باطریش شیش ساعته اونم بدون بدون اتصال به گوشی تموم میشه یعنی هیچ کارایی نداره,not_recommended
اسکارف مسافرتی,"بد نیست فقط یکم کمرنگه
کاش دور دوخت هم بود چونکش میاد میترسم پاره شه",recommended
ساعت بادوام ، ارزان قیمت ، شیک و مناسب,متناسب برای استفاده روزمره و ورزشی,recommended
نکته,گیم پد خوبیه فقط اول باید دکمه های بازی رو تنظیم کنین ، بعد رو گوشی نصب کنین. بعد این که رو گوشی نصب کردین اگه گیر داشت ، گوشی رو باز و بسته کنین,recommended
کیفیت ۳.۵ از ۱۰,از داخل جعبه ک بیرون آوردم دل و رودش بیرون ریخته بود،برای تست ک روشن کردم بعد از ۳۰ ثانیه لرزش شدید نور پیدا کرد،کیفیت بسیار پایین،۵ تا ۶.۵میارزه,not_recommended
نسبت به قیمت بسیار عالی,این محصول با توجه به نظرات منفی که وجود داشت خرید کردم ، اولش فکر کردم یه چیز بدیه ولی اینطور نبود به ظاهرش نمیخوره حرفه ای باشه ولی کارایی قابل قبولی داره ، صداش مناسب هیکل و قیمتش هس ، عملکردشم بدونه مشکل بود ، چندین بار تست کردم و هیچ مشکلی نداشت ، احتمالا اونایی که نظرات منفی میدن تا انتظارات بالایی دارن از این محصول یا اینکه واس اونا خراب بوده ، ولی من راضی هستم,recommended
در کل خوب و خوش دوخته,جنسش خوبه و خوش دوخته یه مقدار پارچه س برای تابستون مناسب نیست بهاری و پاییزیه,recommended
انتقاد از عملکرد بد,"متاسفانه عملکرد خیلی بدی داره، موقع استفاده از شیشه شور قسمت رفت خوبه ولی وقتی بر می گرده درست قسمت وسط مقداری آب باقی می مونه و لک باقی میذاره
هر چی هم دوباره برف پاک کن زده بشه فایده ای نداره و آخرش باید با دستمال شیشه رو پاک کرد!
حالا باید ببینم موقع بارندگی چطوریه",not_recommended
.......,یک ماه نشد اصلا شارژ نمیکنه,not_recommended
یکی از بهترین های بازار,من این مودم را حدود ۱ سال و نیم پیش خریدم از نظر آنتن دهی عالیه و نسبت به چند مودم دیگه که استفاده کردم از جمله مودمهای خود ایرانسل اصلا قابل مقایسه نیست و اونها انگشت کوچیک این مودم هم حساب نمیشن.,recommended
نخرید ارزش نداره,یک خرید اشتباه. از روی نظرات خرید کردم اما نه از شارژ سریع پشتیبانی میکنه و نه از OTG,not_recommended
بوی خوش آدیداس,بسیار رایحه شیک و باکلاسی داره. تو بحث ماندگاری هم توجه داشته باشید که چقد هزینه میکنید!من تو پیشنهاد شگفت انگیز خریدم.ماندگاریش اونقدرام که میگن بد نیست. یکی دوساعتی مهمون بدن و لباستونه. عطرهای گران  هم آنچنان تعریفی تو بحث ماندگاری ندارن. شاید کلا سه چهار ساعت. به عنوان ی عطر دم دستی مثلا تو ماشین شدیدا پیشنهاد میشه,recommended
سنگین خوش دست,"من مشکی شو خریدم 
 دوستان عزیز واقعا اگه یه جنس عالی با کیفیت میخواین تو خریدش اصلا شک نکنید 
ممنونم از دیجیکالا عزیز
فقط یخورده تو بسته بندی حوصله نزاشتن. جنسا قبلی که می گرفتم خیلی قشنگ و مرتب بسته بندی میکردن،",recommended
باتری سیلیکون پاور,کیفیت باتری مناسب و بسته بندی هم که فروشنده انجام داده بسیار خوب هست از فروشنده سالیان و سایت دیجی کالا ممنون هستم,recommended
نخرید,نخرید ، پشیمون میشید ،نصف قاب رنگش زرده نصفش رنگ سفید در صورتی که تو عکس رنگش کامل زرد و بعد اینکه سریع دستتون عرق میکنه بعد از ۲۰ دقیقه کار کردن با موبایل,not_recommended
نسبت به پولی که پرداخت کردم خوبه,"سلام,من خودم همیشه با خوندن نظر هموطنانم تصمیم به خر ید میگیرم,پس نظرمو صادقانه میگم همیشه
ما این پنکه رو واسه زمان هایی که میریم کمپ و برای توی چادر خریدیم,اما وقتی به دستمون رسید دیدیدم که میتونیم تو اتاق خواب هم ازش استفاده کنیم,نسبت به قیمتش خیلی بیشتر می ارزه,سه درجه داره که درجه ۱ زیاد خوب نیست اما ۲ و ۳ خیلی خوبه,تقریبا صدای کمی داره که اونم طبیعیه,پنکه ای که برای من آوردن یه کم کثیف بود که انگار تو انبار مونده بود اما در کل راضی هستم,راستی دستگیره هم برای حمل و قابلیت چرخش هم نداره اما خیلی سبکه
موفق باشید",recommended
بی مصرف,تقریبا بی استفاده اس. ۲۰ ۳۰ دقیقه طول می کشه تا ۶۰ ۷۰ درصد ریش رو بزنه. بقیه اش هم نمی زنه. صورت درد تنها نتیجه خرید این محصول بود.,not_recommended
مودم خوبی هست برای اونایی که وای فای نمیخوان و قیمت مناسبی داره و سرعت خوبی هم داره,اگر دنبال مودم ارزان هستین و از لبتاپ استفاده میکنین . مودم خوبی هستش.,recommended
نقد,"من تا ۲۰ روز باهاش کار میکردم و کاملا راضی بودم تا اینکه دیدم کم کم خیلی داغ میشه و بطور اتفاقی متوجه شدم وقتی گوشی رو باهاش شارژ میکنم بدنه گوشی برق ضعیف میگیره و وقتی فازمتر زدم به بدنه گوشی فازمتر روشن شد. بعد اومدم ببینم گارانتی داره؟ که نظر اون دوستمون که گفته آی سی موبایلشون سوخته رو دیدم...
دیگه ازش استفاده نمیکنم و پیشنهاد میکنم شما هم استفاده نکنید",not_recommended
عالیه,خیلی خوبه و قوی و از همه مهمتر ایمینیش بالاس,recommended
یکی دیگه خریدم,اقا من یکی دیگم خریدم برا دوستم اونم راضیه ممنون دی جی.توضیح تو نظر قبلی دادم.ولی بگم قبل نصب محل نصبشو قشنگ تمیز کنید.یاعلی,recommended
خیلی بد,"کنترل از کار افتاد
پیشنهاد میدم مارک دنای بخرید 
گول باندای این محصول رو خوردم بسیار بد در کل",not_recommended
طلای ظریف,"سلام .. دستبندی که در عکس مشاهده می کنید یک دستبند بسیار ظریف و کوچک هست که خب با توجه ب وزن ش که حتی ب یک ششم گرم هم نمیرسه قابل انتظاره . اما برای کسانی که مثل من ب طلای ظریف و دخترانه علاقه دارن توصیه ش می کنم چون طرح و ساخت ش بسیار خوب و دلنشینه . اما اگر فردی هستید که طلای تو پر و سنگین رو ترجیح میدید اصلن بهتون توصیه نمیکنم چون این دستبند توقع تون رو برآورده نمیکنه . مشکلی که من با این دستبند دارم این هست که مهره ها که در مشخصات هم ازش با عنوان ""سنگ"" یاد شده ، سنگی نیستن و حتی در بازار پانزده خرداد هم ب راحتی و با قیمت کم تهیه میشه در نتیجه این قیمت برای این دستبند بسیار زیاده . اما در مجموع من طرح و زیبایی این کار رو پسندیدم و حتی با وجودی که دست های نسبتن پری دارم ب دستم نشست و خب دستبندم رو دوست دارم . و این رو هم بگم من با وجودی که در پیشنهاد ویژه و ب قیمت نود تومن خریداری کردم این دستبند رو باز هم باور دارم که قیمت کار بالاست و باید کمتر از این باشه .. ممنون",recommended
معمولی رو به خوب,نسبت به قیمتش واقعا می ارزه .یه رژ گونه دم دستی و راحت .,recommended
رادیو پخش کاست,کلا چیزه دوست داشتنی البته برا کسانی که سابقه دارن در کاست و رادیو گوش کردن,recommended
همه جانبه خوبه,"با سلام
به نظرم از هر رنگ این کیف عکسی جداگانه بود در انتخاب راحت تر میبودم
و یک نکته که از هر منظر کیف باید عکس وجود داشته باشد تا خریدار با حساس رضایت تمام خرید بکند
با این وجود این کیف خیلی خوبه نسبت به قیمتش",recommended
ضعیف بودن موتور,باسلام.دوستانی که میگن عالیه نمی‌دونم چی این پنکه نظرشون رو گرفته.نسبت به موارد مشابه موتور بسیار ضعیفی داره بنحوی که دور بالای این پنکه برابر با دور پایین پنکه های مشابه می‌باشد.مورد دیگه اینکه بدنه بسیار ظریف و پلاستیک ضعیفی داره که هنگام مونتاژ اگر فشار زیادی موقع بستن پیچ ها بیارید خیلی راحت می‌شکنه رزوه پیچ و همچنین کنترل بسیار کوچکی داره که اصلا شباهتی به عکس نداره و مورد آخر اینکه یه سلفون روی پنل اصلی پنکه کشیده شده که بمحض اینکه اون رو بخواهید جدا کنید همه نوشته های زیرش بهش میچسبه و همه نوشته های روی پنل پاک میشه.ضمنا پایه پنکه پر از خط و خش هم هست که گویا براثر فشار و یا هنگام جابجایی به این شکل درامده است.در کل ارزش خرید نداره و اگر پنکه پارس خزر یا سانی یا نمونه های دیگر پنکه های چینی رو خریداری کنید خیلی بهتره.,not_recommended
شیک اما ضعیف,"پس از تحویل بسته از نمای بیرونی چادر ذوق زده خواهید شد.
نصب و برپایی چادر کار ساده و راحتی است ولی پس از داخل شدن به آن دجار یاس و نا امیدی مطلق خواهید شد. جنس چادر بسیار نازک بوده و در همان نگاه اول حس دلزدگی را بوجود می آورد.",not_recommended
پیشنهاد نمیکنم,جنس خشکی داره و اصلا خوب حالت نمیگیره . به عنوان پرده زیادی ضخیمه مثل گونی میمونه . پشیمونم از خرید و پس دادم.,not_recommended
تعریق,قسمت لاستیکیش که رو شکم بچه می افته خیلی وسیع هست و باعث میشه خیلی عرق کنه، بچه اذیت میشه، اما پس نمیده,not_recommended
بی کیفیت و مزخرف,واقعا افتضاحه اصلا بوی قهوه نمیده مزه هم نداره من اتداختمش دور واقعا حالت تهو بهم دست داد.مزخرفترین قهوه ای که تاحالا خوردم.بین قهوه های ایرانی به نظرم فرمند خیلی خیلی از این بهتره مطمئن باشید بخرید پولتونو دور ریختین,not_recommended
پیشنهاد می کنم,"سلام 
 نورش خیلی خوبه -اندازش استاندارد -چهار تا لامپ ال ای دی در پیشانی چراغ قوه  وجود داره  که میشه به عنوان چراغ  قوه  دستی از آن استفاده نمود و نور قابل  قبولی هم داره  باتری آلکالاین کملیون گذاشتم امیدوارم دوام  خوبی داشته باشه فقط بدنه اش کمی ضعیف  به نظر  میرسد",recommended
بسیار عالی,بسیار عالی و یک وسیله کار آمد,recommended
عود خوشبو,"بوی فوق العاده خوبی داره، بوی عودی ک شما تو فضای اکثر کافی شاپها حس میکنید این هست.فوق العاده ست
اصلا ازار دهنده نیس",recommended
خیلی زیباست.من که راضی هستم.,زیباست و خیلی خوبه.اصلا هم دست رو اذیت نمیکنه,recommended
کیفیت محصول,دوستان اگه فقط جهت کامپیوتر یا شارژ میخوایین جواب میده ولی من یک باری کتری برقی پارس خزر رو بهش وصل کردم همون بار اول دو شاخش سوخت !,not_recommended
خیلی دوسش دارم,خیلی عالیه . من برای مدرسه،مسافرت،باشگاه و کوهنوردی ازش استفاده کردم.جای کافی برای همه چی داره.خیلیم زیباست,recommended
کفش سالنی بسیار شیک و راحت,"خیلی خوبه 
هفته دومه میرم سالن و احساس خوبی دارم 
از تیم دیجی کالا سپاسگزارم",recommended
پیشنهاد میکنم,خییلی زیباست حتما پیشنهاد میکنم,recommended
جوهر‌,جوهر مناسبی است من از این مدل قبلا هم استفاده میکردم حتی چند سال پیش هم که از بیرون تهیه میکردم قیمت ۷ برابر دیجیکالا بود این هم ارزان است هم با کیفیت ولی سریع تمام میشه خواهش میکنم موجودش کنید.,recommended
ترازوی بیستیه,من امروز دستم رسید؛واقعا دقتش عالیه و برا من مشکل روشن شدنش ک دوستان گفتن پیش نیومد و فقط با ی ضربه ی آروم روشن شد و چند جا هم تستش کردم دقیق بود و ی عدد نشون میداد؛در کل پیشنهادش میکنم,recommended
